BFS_NR,GEBIET_NAME,THEMA_NAME,SET_NAME,SUBSET_NAME,INDIKATOR_ID,INDIKATOR_NAME,INDIKATOR_JAHR,INDIKATOR_VALUE,EINHEIT_KURZ,EINHEIT_LANG,...12,BFS_N
1,Aeugst a.A.,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,63500,Fr.,Franken,NA,1
2,Affoltern a.A.,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,51000,Fr.,Franken,NA,2
3,Bonstetten,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,64800,Fr.,Franken,NA,3
4,Hausen a.A.,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,57900,Fr.,Franken,NA,4
5,Hedingen,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,61700,Fr.,Franken,NA,5
6,Kappel a.A.,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,64500,Fr.,Franken,NA,6
7,Knonau,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,62000,Fr.,Franken,NA,7
8,Maschwanden,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,53300,Fr.,Franken,NA,8
9,Mettmenstetten,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,61300,Fr.,Franken,NA,9
10,Obfelden,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,55800,Fr.,Franken,NA,10
11,Ottenbach,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,60500,Fr.,Franken,NA,11
12,Rifferswil,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,65400,Fr.,Franken,NA,12
13,Stallikon,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,70800,Fr.,Franken,NA,13
14,Wettswil a.A.,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,73500,Fr.,Franken,NA,14
21,Adlikon (bis 2022),Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,59700,Fr.,Franken,NA,21
22,Benken,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,52400,Fr.,Franken,NA,22
23,Berg a.I.,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,58700,Fr.,Franken,NA,23
24,Buch a.I.,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,60700,Fr.,Franken,NA,24
25,Dachsen,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,60500,Fr.,Franken,NA,25
26,Dorf,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,61100,Fr.,Franken,NA,26
27,Feuerthalen,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,53300,Fr.,Franken,NA,27
28,Flaach,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,58600,Fr.,Franken,NA,28
29,Flurlingen,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,61600,Fr.,Franken,NA,29
30,Andelfingen (bis 2022),Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,58000,Fr.,Franken,NA,30
31,Henggart,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,56700,Fr.,Franken,NA,31
32,Humlikon (bis 2022),Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,59000,Fr.,Franken,NA,32
33,Kleinandelfingen,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,56600,Fr.,Franken,NA,33
34,Laufen-Uhwiesen,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,61500,Fr.,Franken,NA,34
35,Marthalen,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,56300,Fr.,Franken,NA,35
37,Ossingen,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,53700,Fr.,Franken,NA,37
38,Rheinau,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,52800,Fr.,Franken,NA,38
39,Thalheim a.d.Th.,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,56700,Fr.,Franken,NA,39
40,Trüllikon,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,53300,Fr.,Franken,NA,40
41,Truttikon,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,54800,Fr.,Franken,NA,41
43,Volken,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,53800,Fr.,Franken,NA,43
51,Bachenbülach,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,53600,Fr.,Franken,NA,51
52,Bassersdorf,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,56900,Fr.,Franken,NA,52
53,Bülach,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,53800,Fr.,Franken,NA,53
54,Dietlikon,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,55400,Fr.,Franken,NA,54
55,Eglisau,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,60400,Fr.,Franken,NA,55
56,Embrach,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,51400,Fr.,Franken,NA,56
57,Freienstein-Teufen,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,57500,Fr.,Franken,NA,57
58,Glattfelden,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,55600,Fr.,Franken,NA,58
59,Hochfelden,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,56800,Fr.,Franken,NA,59
60,Höri,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,49200,Fr.,Franken,NA,60
61,Hüntwangen,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,61600,Fr.,Franken,NA,61
62,Kloten,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,50000,Fr.,Franken,NA,62
63,Lufingen,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,67200,Fr.,Franken,NA,63
64,Nürensdorf,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,62800,Fr.,Franken,NA,64
65,Oberembrach,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,61500,Fr.,Franken,NA,65
66,Opfikon,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,52700,Fr.,Franken,NA,66
67,Rafz,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,56100,Fr.,Franken,NA,67
68,Rorbas,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,53100,Fr.,Franken,NA,68
69,Wallisellen,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,59700,Fr.,Franken,NA,69
70,Wasterkingen,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,57600,Fr.,Franken,NA,70
71,Wil,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,60000,Fr.,Franken,NA,71
72,Winkel,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,69400,Fr.,Franken,NA,72
81,Bachs,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,57500,Fr.,Franken,NA,81
82,Boppelsen,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,70700,Fr.,Franken,NA,82
83,Buchs,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,54500,Fr.,Franken,NA,83
84,Dällikon,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,55400,Fr.,Franken,NA,84
85,Dänikon,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,55200,Fr.,Franken,NA,85
